stamp,source,forced_dropout,x,y
27.552000000,gps,False,0.639502064,0.150816651
27.601000000,gps,False,0.603879729,0.034743920
27.650000000,gps,False,0.728528099,0.012425255
27.700000000,gps,False,0.729097465,-0.121660177
27.750000000,gps,False,0.775629240,-0.001314492
27.800000000,gps,False,0.722342798,-0.095969520
27.850000000,gps,False,0.890879103,0.037449667
27.900000000,gps,False,0.961229272,0.138125132
27.950000000,gps,False,0.675892542,0.078328713
28.000000000,gps,False,0.828035856,0.130391992
28.051000000,gps,False,0.888399960,-0.185369451
28.101000000,gps,False,1.181565037,0.063790837
28.150000000,gps,False,1.201824803,0.168586842
28.200000000,gps,False,1.025022516,-0.039328545
28.250000000,gps,False,1.040794809,0.011293150
28.300000000,gps,False,1.269336974,0.040407612
28.355000000,gps,False,1.391590455,-0.239937815
28.400000000,gps,False,1.254562898,-0.085114248
28.450000000,gps,False,1.544419661,-0.115852154
28.500000000,gps,False,1.293555391,-0.149044739
28.550000000,gps,False,1.236465979,0.127218875
28.601000000,gps,False,1.513700164,-0.019788359
28.650000000,gps,False,1.467085587,-0.072272156
28.700000000,gps,False,1.549505535,0.050948898
28.750000000,gps,False,1.729651896,-0.035804415
28.801000000,gps,False,1.793422472,0.048271199
28.850000000,gps,False,1.668875244,-0.039881749
28.900000000,gps,False,1.730865759,-0.008879214
28.951000000,gps,False,1.852818279,0.008821479
29.001000000,gps,False,1.724244933,-0.195673827
29.055000000,gps,False,1.902000113,-0.064412806
29.103000000,gps,False,1.970402100,-0.012082290
29.151000000,gps,False,1.902826224,0.127004006
29.200000000,gps,False,2.148973195,0.110694517
29.250000000,gps,False,2.013497903,-0.030269757
29.301000000,gps,False,2.006352228,0.011382182
29.350000000,gps,False,2.168156691,0.063007587
29.400000000,gps,False,2.336647304,0.047323425
29.450000000,gps,False,2.280401359,-0.112644545
29.500000000,gps,False,2.420877126,0.003208328
29.550000000,gps,False,2.206372037,-0.111391306
29.600000000,gps,False,2.486371554,-0.014555440
29.653000000,gps,False,2.395284199,-0.044219305
29.700000000,gps,False,2.556716102,0.012110397
29.750000000,gps,False,2.520402702,-0.130906593
29.800000000,gps,False,2.557427997,0.012637669
29.850000000,gps,False,2.658754678,0.063230402
29.901000000,gps,False,2.669490383,0.130433386
29.957000000,gps,False,2.711134299,-0.030025807
30.000000000,gps,False,2.865610753,0.008794604
30.050000000,gps,False,2.709776892,0.275100555
