stamp,source,gps_available,forced_dropout,model_loaded,model_ready,model_samples,ann_x,ann_y,output_x,output_y,odom_x,odom_y,gps_x,gps_y,origin_source,origin_x,origin_y
8.400000000,gps,True,False,True,True,188,3.051340420,0.311499757,3.040251634,0.115853630,3.443042888,0.094266221,3.040251634,0.115853630,first_gps,0.062068549,0.034649841
8.450000000,gps,True,False,True,True,188,3.105753635,0.353512298,3.120879715,0.184838516,3.487276477,0.137361379,3.120879715,0.184838516,first_gps,0.062068549,0.034649841
8.500000000,gps,True,False,True,True,188,3.130099555,0.398893266,2.940736789,0.328729134,3.514334314,0.168480964,2.940736789,0.328729134,first_gps,0.062068549,0.034649841
8.554000000,gps,True,False,True,True,188,3.126663814,0.510688115,2.981394784,0.280620601,3.550990293,0.218233339,2.981394784,0.280620601,first_gps,0.062068549,0.034649841
8.601000000,gps,True,False,True,True,188,3.126830394,0.554270455,3.125822039,0.427258179,3.572662609,0.253240654,3.125822039,0.427258179,first_gps,0.062068549,0.034649841
8.650000000,gps,True,False,True,True,188,3.174355511,0.556838914,3.189000659,0.535140867,3.600733183,0.308291796,3.189000659,0.535140867,first_gps,0.062068549,0.034649841
8.700000000,gps,True,False,True,True,188,3.197551834,0.577644557,3.019314130,0.610937465,3.616374968,0.346428341,3.019314130,0.610937465,first_gps,0.062068549,0.034649841
8.750000000,gps,True,False,True,True,188,3.211244650,0.653221505,3.197232501,0.517758696,3.635023622,0.405309875,3.197232501,0.517758696,first_gps,0.062068549,0.034649841
8.800000000,gps,True,False,True,True,188,3.245652924,0.666325496,3.179080938,0.492918873,3.644198284,0.445463959,3.179080938,0.492918873,first_gps,0.062068549,0.034649841
8.851000000,gps,True,False,True,True,188,3.298349198,0.740861032,3.108736257,0.459245618,3.653045363,0.506636793,3.108736257,0.459245618,first_gps,0.062068549,0.034649841
8.900000000,gps,True,False,True,True,188,3.257026365,0.775960729,3.005156204,0.621088824,3.655575981,0.547790970,3.005156204,0.621088824,first_gps,0.062068549,0.034649841
8.950000000,gps,True,False,True,True,188,3.355937114,0.719354468,3.169413411,0.471351529,3.656276190,0.609566377,3.169413411,0.471351529,first_gps,0.062068549,0.034649841
9.000000000,gps,True,False,True,True,188,3.293084117,0.853780463,3.255740447,0.690799418,3.656679878,0.650750375,3.255740447,0.690799418,first_gps,0.062068549,0.034649841
9.050000000,gps,True,False,True,True,188,3.232946534,0.785865382,3.106267157,0.842989511,3.657983880,0.712571866,3.106267157,0.842989511,first_gps,0.062068549,0.034649841
