stamp,ekf_x,ekf_y,pseudo_x,pseudo_y,gps_x,gps_y,odom_x,odom_y,ann_x,ann_y,kf_imu_x,kf_imu_y,complementary_x,complementary_y,ekf_error_m,pseudo_error_m,odom_error_m,ann_error_m,kf_imu_error_m,complementary_error_m
35.040000000,2.634385832,0.070690352,2.556292208,-0.029755396,2.898333590,0.010689176,1.218784737,-0.612171108,2.556292208,-0.029755396,2.563454966,0.027518720,2.518077081,0.009332601,0.270681659,0.344424259,1.791323334,0.344424259,0.335301247,0.380258929
35.120000000,2.697851230,0.104482635,2.644633921,0.022482372,2.782117321,0.343344094,1.320375085,-0.628593040,2.644633921,0.022482372,2.644400378,0.075266355,2.598920399,0.049104536,0.253289500,0.349075823,1.755378067,0.349075823,0.301382864,0.346609333
35.220000000,2.784033875,0.180323062,2.817682942,0.204113786,2.959646694,0.224392901,1.423263674,-0.628178454,2.817682942,0.204113786,2.730592404,0.156227981,2.671125804,0.089874495,0.181058037,0.143404845,1.757085854,0.143404845,0.238981849,0.318338665
35.340000000,2.857916206,0.274832485,2.767728824,0.211876970,2.911420349,0.160893337,1.524790784,-0.611216001,2.767728824,0.211876970,2.787278702,0.220170112,2.757313140,0.168275522,0.125876221,0.152468309,1.587102511,0.152468309,0.137567745,0.154283922
35.440000000,2.894077405,0.361842701,2.847819153,0.325119625,2.963506955,0.258216456,1.622131691,-0.577868155,2.847819153,0.325119625,2.828901051,0.312801183,2.822597454,0.247501298,0.124735164,0.133640195,1.580609085,0.133640195,0.145252339,0.141316320
35.520000000,2.922653639,0.440919500,2.925871724,0.458308249,3.093244925,0.459011140,1.715697070,-0.534788490,2.925871724,0.458308249,2.860165474,0.415512799,2.861489228,0.337321942,0.171547936,0.167374677,1.698609961,0.167374677,0.237103641,0.261761274
35.620000000,2.937510183,0.550083066,2.879875535,0.547931545,3.022688084,0.498912037,1.805474596,-0.484317718,2.879875535,0.547931545,2.875464186,0.524326849,2.891409556,0.428216149,0.099366740,0.150991180,1.564720239,0.150991180,0.149401435,0.149103857
35.740000000,2.962478879,0.663179860,2.907172616,0.623112924,2.966719938,0.618579784,1.894350931,-0.432236482,2.907172616,0.623112924,2.891118750,0.615592169,2.906487185,0.537204957,0.044801265,0.059719619,1.501396054,0.059719619,0.075660197,0.101241527
35.840000000,2.959886413,0.754290569,2.892541465,0.717499757,2.858969162,0.795743898,1.983325940,-0.380294912,2.892541465,0.717499757,2.892524693,0.703960443,2.926798815,0.639386014,0.109099359,0.085142499,1.466225881,0.085142499,0.097725003,0.170436644
35.940000000,2.997759949,0.873447761,2.987172537,0.857160062,3.065163800,0.631868942,2.072273044,-0.328295022,2.987172537,0.857160062,2.939544908,0.837438155,2.926205553,0.729125506,0.250805911,0.238408737,1.381212109,0.238408737,0.240912447,0.169612009
36.040000000,3.011371314,0.969457169,3.029852004,0.976381217,3.075412068,0.790573563,2.161273620,-0.276407587,3.029852004,0.976381217,2.960150335,0.914381832,2.968652429,0.855442958,0.190001481,0.191311797,1.405025934,0.191311797,0.169156007,0.124922612
36.120000000,3.002387498,1.030554421,2.942653360,0.967195866,2.922879329,1.051087908,2.250347817,-0.224613165,2.945420425,0.983562014,2.984902688,0.987896927,2.985760824,0.941919501,0.082116825,0.086190992,1.442120612,0.071188815,0.088543759,0.125983426
36.240000000,2.987439019,1.121220340,2.914916054,1.017250640,2.923636973,1.076792089,2.339462964,-0.172969206,2.914916054,1.017250640,2.965064229,1.072801302,2.993645093,1.009225674,0.077746837,0.060176727,1.379551581,0.060176727,0.041619033,0.097295207
36.320000000,2.986098102,1.182401450,2.983224253,1.107568412,2.873746180,1.267485758,2.410727149,-0.131571879,2.983224253,1.107568412,2.972100020,1.134021485,2.976251624,1.097010821,0.140933651,0.193801461,1.473685480,0.193801461,0.165789595,0.198919758
36.440000000,3.027624887,1.306828627,3.083200451,1.302021155,3.167503168,1.378311094,2.517553502,-0.069352441,3.083200451,1.302021155,3.028016919,1.248091044,2.979099061,1.158211468,0.157084934,0.113697419,1.586872483,0.113697419,0.190823676,0.289723926
36.540000000,3.039649283,1.394669175,3.088411210,1.375491195,2.765713621,1.464007752,2.588721166,-0.027801523,3.088411210,1.375491195,3.043670331,1.324393807,3.027820903,1.277459835,0.282574919,0.334617565,1.502272026,0.334617565,0.311049813,0.321714706
36.640000000,3.051336733,1.469987591,3.089241404,1.395885296,3.116499857,1.330093973,2.695555596,0.034429736,3.089241404,1.395885296,3.063775634,1.413953505,3.041659807,1.359531491,0.154325815,0.071214615,1.362328847,0.071214615,0.099056877,0.080421394
36.740000000,3.043135696,1.542103128,3.025032631,1.425869264,2.962624814,1.591595584,2.784532751,0.086287217,3.025032631,1.425869264,3.055201969,1.465394601,3.057556183,1.441970548,0.094506642,0.177087404,1.515806737,0.177087404,0.156515871,0.177199369
36.840000000,3.030541827,1.615241264,3.016976658,1.492958243,3.029789498,1.370251859,2.873574695,0.138116456,3.016976658,1.492958243,3.050031836,1.533904854,3.049168833,1.503748864,0.244990560,0.123373520,1.241998678,0.123373520,0.164900137,0.134896290
36.940000000,3.041943477,1.692978272,3.060412948,1.603547587,3.044056605,1.622053897,2.962659664,0.189838890,3.060412948,1.603547587,3.063943843,1.627453901,3.040286832,1.574573059,0.070955847,0.024698451,1.434526154,0.024698451,0.020607335,0.047630255
37.020000000,3.048352350,1.751560877,3.055992885,1.662055339,2.811837458,1.993807849,3.051846178,0.241476757,3.055992885,1.662055339,3.070514579,1.704849897,3.052943660,1.660216087,0.338560023,0.411912127,1.768691167,0.411912127,0.387827991,0.411601342
37.120000000,3.049836338,1.829612278,3.072649126,1.745985328,2.938310852,1.977469267,3.140948918,0.293119989,3.072649126,1.745985328,3.077100474,1.781921972,3.059433464,1.728205387,0.185201574,0.267640777,1.696494821,0.267640777,0.239794294,0.277133847
37.240000000,3.060441207,1.922612824,3.065758824,1.818865056,3.087383299,1.910547920,3.230010806,0.344937980,3.065758824,1.818865056,3.089004040,1.850712482,3.063468406,1.805767125,0.029520132,0.094198544,1.572093220,0.094198544,0.059857384,0.107475287
37.320000000,3.079507737,1.983365520,3.116841220,1.933934723,3.082019563,2.163813845,3.301214671,0.386408498,3.116841220,1.933934723,3.106556926,1.918838854,3.074722624,1.886662653,0.180465806,0.232501523,1.790870253,0.232501523,0.246200788,0.277247233
37.440000000,3.087034834,2.080878505,3.150688068,2.072937900,3.065254081,2.122251317,3.425811218,0.459084747,3.150688068,2.072937900,3.078002699,2.001429207,3.093032331,1.951102187,0.046755863,0.098644712,1.701800366,0.098644712,0.121492837,0.173388742
37.540000000,3.114229702,2.172949206,3.170870617,2.120832182,2.834853167,2.198332743,3.496935102,0.500684735,3.170870617,2.120832182,3.106633034,2.105771359,3.082518766,2.041153856,0.280527311,0.344839185,1.822185844,0.344839185,0.287109571,0.293331641
37.640000000,3.130405456,2.238007351,3.145805944,2.093101417,2.894797404,2.308729064,3.585856271,0.552714792,3.145805944,2.093101417,3.122122355,2.166956865,3.110431368,2.139360282,0.245993323,0.330908702,1.887100549,0.330908702,0.267910414,0.274196628
37.740000000,3.136547977,2.311014593,3.161874762,2.189241376,3.023894500,2.356366875,3.674337643,0.605413694,3.161874762,2.189241376,3.129350467,2.238861470,3.126263905,2.202482108,0.121439843,0.216724446,1.867863305,0.216724446,0.157887559,0.184824287
37.840000000,3.135732227,2.389334106,3.172209800,2.296944701,2.816051584,2.582630276,3.755416249,0.668842144,3.172209800,2.296944701,3.141538138,2.316798647,3.132949222,2.274938032,0.373576128,0.456579591,2.131898447,0.456579591,0.420247489,0.441699706
37.920000000,3.135175354,2.458721753,3.195689703,2.408298151,2.995732884,2.453036640,3.812073054,0.728591340,3.195689703,2.408298151,3.140577494,2.406679161,3.138635183,2.353066376,0.139558314,0.204900614,1.907910602,0.204900614,0.152082139,0.174399314
38.020000000,3.097076485,2.552241857,3.096242013,2.509948533,2.715173427,2.502460993,3.871207775,0.812832889,3.096242013,2.509948533,3.112365073,2.485514394,3.137876424,2.432700457,0.385133847,0.381142139,2.047256346,0.381142139,0.397553004,0.428420770
38.140000000,3.040687512,2.658622259,3.061154797,2.598120292,2.628026251,2.682143475,3.922685544,0.925007329,3.061154797,2.598120292,3.062714711,2.587464978,3.104720779,2.518878126,0.413331059,0.441203165,2.182583359,0.441203165,0.444879843,0.503878207
38.240000000,2.984049464,2.743663482,3.046795076,2.682311861,2.759646499,2.820040908,3.948170117,1.024701030,3.046795076,2.682311861,3.006983231,2.668146207,3.051701112,2.623043618,0.237044725,0.318470714,2.153098621,0.318470714,0.290254129,0.352283734
38.320000000,2.986144987,2.828388176,3.112356805,2.819227720,2.700492681,2.827821945,3.957008303,1.127216810,3.112356805,2.819227720,3.003778764,2.775226254,2.995516347,2.705904844,0.285652867,0.411953781,2.114447761,0.411953781,0.307812857,0.319222091
38.420000000,2.905634423,2.891339876,2.995977795,2.846378182,2.575228940,2.962395352,3.951776772,1.209401649,2.995977795,2.846378182,2.937492472,2.826514746,2.994961875,2.801807215,0.337959559,0.436451122,2.228872104,0.436451122,0.386908781,0.449404368
38.540000000,2.774337848,2.940930943,2.727690030,2.827149537,2.372113168,2.924377716,3.933640551,1.331701961,2.727690030,2.827149537,2.812203088,2.858868512,2.921563448,2.858927311,0.402565153,0.368630199,2.230467177,0.368630199,0.444938865,0.553334768
38.620000000,2.696285861,2.960902849,2.607016341,2.873470865,2.571008140,2.793862648,3.918508813,1.433633958,2.607016341,2.873470865,2.701217945,2.900486049,2.793270468,2.899899728,0.208798794,0.087373101,1.914674946,0.087373101,0.168294810,0.246260846
38.740000000,2.604970176,2.994669142,2.591112040,2.879000194,2.297821187,2.931508616,3.903679149,1.535525156,2.591112040,2.879000194,2.625530798,2.918197343,2.698751903,2.930694449,0.313575754,0.297954121,2.127803941,0.297954121,0.327979845,0.400931542
38.840000000,2.542344444,3.013279837,2.651442354,2.929690065,2.204339089,3.065850382,3.888748956,1.637468894,2.651442354,2.929690065,2.567813209,2.941592073,2.615250487,2.956433243,0.342069119,0.467376680,2.208508609,0.467376680,0.384127015,0.425229688
38.940000000,2.410952948,3.016032733,2.411169623,2.939761506,1.904136092,2.848286738,3.867253095,1.738139916,2.411169623,2.939761506,2.443375416,2.960115298,2.555078827,2.977435955,0.533855827,0.515219016,2.255272563,0.515219016,0.550712879,0.663630894
